Tipo,NombreRestaurante_,NombreUsuario_,LocalizaciónUsario_,NivelUsuario_,OpinionesTotalesUsuario_,VotosUtiles_,IDComentario_,ValoracionComentario_,TituloComentario_,Comentario_,FechaCometario_,FechaVisitaRestaurante_,ValoracionesComentario_,ResumenPuntuacionesRestaurante_,PrecioMedio_,TipoCocina_,Comida_,CaracteristicasDelResaurante_,AconsejablePara_,Horarios_,DireccionCompletaRestaurante_,Descripcion_
¬Restaurante¬;¬La Pequeña Graná¬;¬manuel c¬;¬¬;¬4¬;¬35¬;¬7¬;¬manuel cTi_Pue¬;¬2¬;¬Tiene de Graná sólo el nombre¬;¬Pues eso...que tiene mucho que aprender. Las tapas de calidad y tamaño escaso, los tiempos de servicio igual... No sé por qué tiene tanta gente... Puede estar bien para tomarte una cerveza e irte a otro sitio, pero no pienses que vas a cenar como en Granada. Lo dicho, la Pequeña Graná pero serà por el tamaño de las tapas.¬;¬29 julio 2016¬;¬¬;¬¬;¬¬;¬¬;¬Española¬;¬Comidas, Cenas, Bebidas¬;¬¬;¬Comer barato, Familias con niños¬;¬domingo 12:00 - 00:00 lunes 12:00 - 00:00 martes 12:00 - 00:00 miércoles 12:00 - 00:00 jueves 12:00 - 00:00 viernes 12:00 - 00:00 sábado 12:00 - 00:00¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬
¬Restaurante¬;¬La Pequeña Graná¬;¬Ilargi_Sunset¬;¬¬;¬1¬;¬4¬;¬1¬;¬Ilargi_SunsetHa_Lle¬;¬2¬;¬Ha bajado mucho la calidad¬;¬Llevamos tiempo yendo y cada vez bajan más la calidad, cada vez las tapas son peores y el personal cada vez es menos atento y a veces pierden la educación. Es una pena porque lo tenemos al lado de casa, y no creo que volvamos, ya le hemos dado varias oportunidades y va de mal en peor.¬;¬29 junio 2016¬;¬¬;¬¬;¬¬;¬¬;¬Española¬;¬Comidas, Cenas, Bebidas¬;¬¬;¬Comer barato, Familias con niños¬;¬domingo 12:00 - 00:00 lunes 12:00 - 00:00 martes 12:00 - 00:00 miércoles 12:00 - 00:00 jueves 12:00 - 00:00 viernes 12:00 - 00:00 sábado 12:00 - 00:00¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬
¬Restaurante¬;¬La Pequeña Graná¬;¬AVal23¬;¬Madrid, España¬;¬6¬;¬173¬;¬95¬;¬AVal23Bu_Es¬;¬2¬;¬Buen intento...pero fallido¬;¬Es de agradecer el intento de servir con la excepcional cerveza Alhambra generosas tapas a buen precio. Pero para eso la tapa debe ser buena, si la calidad es mediocre, por mucha variedad que haya, el resultado es decepcionante¬;¬10 septiembre 2014¬;¬¬;¬¬;¬¬;¬¬;¬Española¬;¬Comidas, Cenas, Bebidas¬;¬¬;¬Comer barato, Familias con niños¬;¬domingo 12:00 - 00:00 lunes 12:00 - 00:00 martes 12:00 - 00:00 miércoles 12:00 - 00:00 jueves 12:00 - 00:00 viernes 12:00 - 00:00 sábado 12:00 - 00:00¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬
¬Restaurante¬;¬La Pequeña Graná¬;¬Enrique R¬;¬Madrid, España¬;¬3¬;¬17¬;¬7¬;¬Enrique RNo_Est¬;¬2¬;¬No volveré¬;¬Está al lado de mi casa y sólo he ido una vez, porque se me quitaron las ganas de repetir. Tuvimos que reclamar la tapa que incluye la cerveza (que está bien pagada) porque, después de 15 minutos, no nos la ponían ni tenían intención de ponérnosla parece ser. En cambio, a sus amiguetes que estaban sentados en la barra... Más  Está al lado de mi casa y sólo he ido una vez, porque se me quitaron las ganas de repetir. Tuvimos que reclamar la tapa que incluye la cerveza (que está bien pagada) porque, después de 15 minutos, no nos la ponían ni tenían intención de ponérnosla parece ser. En cambio, a sus amiguetes que estaban sentados en la barra los estaban agasajando. Es como cuando pides una caña en un sitio y no te ponen ni un panchito y viene otro cliente conocido, se pone al lado tuyo, pide una caña y le ponen algo. No entiendo que gente así se pueda dedicar a la hostelería. En defintiva, que esto se parece a Graná como un huevo a una castaña. Por supuesto, no volveré.¬;¬14 agosto 2014¬;¬Visitado el abril de 2014¬;¬Relación calidad-precio 1;Ambiente 1;Servicio 1;Comida 1¬;¬¬;¬¬;¬Española¬;¬Comidas, Cenas, Bebidas¬;¬¬;¬Comer barato, Familias con niños¬;¬domingo 12:00 - 00:00 lunes 12:00 - 00:00 martes 12:00 - 00:00 miércoles 12:00 - 00:00 jueves 12:00 - 00:00 viernes 12:00 - 00:00 sábado 12:00 - 00:00¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬
¬Restaurante¬;¬La Pequeña Graná¬;¬viandas48¬;¬Valdemoro, España¬;¬6¬;¬122¬;¬114¬;¬viandas48UN_Dic¬;¬2¬;¬UN TIMO¬;¬Dicen que tiene buenas tapas. Pedimos dos cervezas en la terraza, nos pusieron una tapa pequeña de patatas fritas congeladas, con una salsa que llamaban gaucha, de bote. Y cuatro trocitos de salchicha. Nos cobraron 6,40€ Una vergüenza. Tapas mañas y ridículas, que no son gratis.Te las cobran con la cerveza, de sobra. NO VAYAN. Dicen que tiene buenas tapas. Pedimos dos cervezas en la terraza, nos pusieron una tapa pequeña de patatas fritas congeladas, con una salsa que llamaban gaucha, de bote. Y cuatro trocitos de salchicha. Nos cobraron 6,40€ Una vergüenza. Tapas mañas y ridículas, que no son gratis.Te las cobran con la cerveza, de sobra. NO VAYAN.¬;¬2 mayo 2014¬;¬Visitado el mayo de 2014¬;¬Relación calidad-precio 1;Ambiente 2;Servicio 2;Comida 1¬;¬¬;¬¬;¬Española¬;¬Comidas, Cenas, Bebidas¬;¬¬;¬Comer barato, Familias con niños¬;¬domingo 12:00 - 00:00 lunes 12:00 - 00:00 martes 12:00 - 00:00 miércoles 12:00 - 00:00 jueves 12:00 - 00:00 viernes 12:00 - 00:00 sábado 12:00 - 00:00¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬;¬Dirección: Calle Embajadores 124, 28045 Madrid, España Ubicación: Europa  >  España  >  Comunidad de Madrid  >  Madrid Número de teléfono: 914742630¬
